,,,,,,,,,,
,Subtotal,,,$148.46,,,,,,
,,,,,,,,,,
Component,Part Number,Purpose,Qty per board,Cost Per Unit,Quantity,Total,Link,Datasheet,Notes,
ATSAMC21G18,ATSAMC21G18A-AUTCT-ND,MCU,1,$3.38,6,$20.28,https://www.digikey.com/product-detail/en/microchip-technology/ATSAMC21G18A-AUT/ATSAMC21G18A-AUTCT-ND/5876003,http://ww1.microchip.com/downloads/en/DeviceDoc/SAM-C20C21-Family-Datasheet-DS60001479C.pdf,,
APL3015ZGCK-F01,754-2127-1-ND,Green LED,1,$0.45,10,$4.53,https://www.digikey.com/products/en?keywords=754-2127-1-ND,http://www.kingbrightusa.com/images/catalog/SPEC/APL3015ZGCK-F01.pdf,,
LTW-150TK,160-1737-1-ND,White LED,1,$0.47,10,$4.70,https://www.digikey.com/product-detail/en/lite-on-inc/LTW-150TK/160-1737-1-ND/758709,http://optoelectronics.liteon.com/upload/download/DS22-2004-049/LTW-150TK.pdf,,
Orange,APTL3216SECK-01,Orange LED,1,$0.41,10,$4.10,https://www.digikey.com/product-detail/en/kingbright/APTL3216SECK-01/754-APTL3216SECK-01CT-ND/10293117,,,
"C1, C4, C5, C10, C11",C1206C106M3PACTU,10uF Cap,5,$0.23,25,$5.75,https://www.digikey.com/product-detail/en/kemet/C1206C106M3PACTU/399-8153-1-ND/3471876,,,
"C3, C16, C17, C18",C1206C224K5RACTU,22uF Cap,4,$0.23,25,$5.75,https://www.digikey.com/product-detail/en/kemet/C1206C224K5RACTU/399-1251-1-ND/411526,,,
"C6, C7, C9",C1206C104K5RAC7800,100nF Cap,3,$0.17,20,$3.40,https://www.digikey.com/product-detail/en/kemet/C1206C104K5RAC7800/399-C1206C104K5RAC7800CT-ND/411524,,,
C8,C1206C104K5RAC7800,1uF,1,$0.19,6,$1.14,https://www.digikey.com/product-detail/en/kemet/C1206C105M3RACTU/399-8148-1-ND/3471871,,,
C12,,0.1uF,1,$0.12,6,$0.72,https://www.digikey.com/product-detail/en/kemet/C1206C104K5RAC7800/399-C1206C104K5RAC7800CT-ND/411524,,,
C15,C1206C150K5GACTU,15pF,1,$0.19,6,$1.14,https://www.digikey.com/product-detail/en/kemet/C1206C150K5GACTU/399-9314-1-ND/3522832,,,
C1206C101J5GACTU,399-1205-1-ND,100pF CAP,1,$0.18,6,$1.08,https://www.digikey.com/product-detail/en/kemet/C1206C101J5GACTU/399-1205-1-ND/411480,https://content.kemet.com/datasheets/KEM_C1003_C0G_SMD.pdf,,
C1206C150k5GACTU,399-9314-1-ND,15pF CAP,2,$0.13,12,$1.55,https://www.digikey.com/product-detail/en/kemet/C1206C150K5GACTU/399-9314-1-ND/3522832,https://content.kemet.com/datasheets/KEM_C1003_C0G_SMD.pdf,,
CRG1206F2K2,A106075CT-ND,2.2k Resistor,1,$0.07,10,$0.69,https://www.digikey.com/product-detail/en/te-connectivity-passive-product/CRG1206F2K2/A106075CT-ND/3477730,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204&DocType=DS&DocLang=English,,
Ferrite bead,Analog Ferrite Bead,bead,1,$0.10,6,$0.60,https://www.digikey.com/products/en?keywords=mh2029-300y,,,
KTR18EZPF3300,RHM330AICT-ND,330 Resistor,1,$0.17,10,$1.70,https://www.digikey.com/product-detail/en/rohm-semiconductor/KTR18EZPF3300/RHM330AICT-ND/4055009,https://www.rohm.com/datasheet/KTR03EZPF/ktr-e,,
ERA-8AEB104V,P100KBCCT-ND,100k Resistor,1,$0.47,10,$4.70,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-8AEB104V/P100KBCCT-ND/3069522,https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf,,
